,label
mouse1_lib1.final_cell_0001,11
mouse1_lib1.final_cell_0002,9
mouse1_lib1.final_cell_0003,3
mouse1_lib1.final_cell_0004,7
mouse1_lib1.final_cell_0005,3
mouse1_lib1.final_cell_0006,11
mouse1_lib1.final_cell_0007,11
mouse1_lib1.final_cell_0008,11
mouse1_lib1.final_cell_0009,11
mouse1_lib1.final_cell_0010,9
mouse1_lib1.final_cell_0011,9
mouse1_lib1.final_cell_0012,11
mouse1_lib1.final_cell_0013,11
mouse1_lib1.final_cell_0014,3
mouse1_lib1.final_cell_0015,11
mouse1_lib1.final_cell_0016,9
mouse1_lib1.final_cell_0017,11
mouse1_lib1.final_cell_0018,12
mouse1_lib1.final_cell_0019,9
mouse1_lib1.final_cell_0020,9
mouse1_lib1.final_cell_0021,11
mouse1_lib1.final_cell_0022,11
mouse1_lib1.final_cell_0023,11
mouse1_lib1.final_cell_0024,3
mouse1_lib1.final_cell_0025,12
mouse1_lib1.final_cell_0026,8
mouse1_lib1.final_cell_0027,9
mouse1_lib1.final_cell_0028,9
mouse1_lib1.final_cell_0029,11
mouse1_lib1.final_cell_0030,9
mouse1_lib1.final_cell_0031,9
mouse1_lib1.final_cell_0032,9
mouse1_lib1.final_cell_0033,1
mouse1_lib1.final_cell_0034,11
mouse1_lib1.final_cell_0035,11
mouse1_lib1.final_cell_0036,9
mouse1_lib1.final_cell_0037,9
mouse1_lib1.final_cell_0038,9
mouse1_lib1.final_cell_0039,3
mouse1_lib1.final_cell_0040,11
mouse1_lib1.final_cell_0041,11
mouse1_lib1.final_cell_0042,9
mouse1_lib1.final_cell_0043,3
mouse1_lib1.final_cell_0044,8
mouse1_lib1.final_cell_0045,11
mouse1_lib1.final_cell_0046,11
mouse1_lib1.final_cell_0047,2
mouse1_lib1.final_cell_0048,9
mouse1_lib1.final_cell_0049,11
mouse1_lib1.final_cell_0050,9
mouse1_lib1.final_cell_0051,1
mouse1_lib1.final_cell_0052,11
mouse1_lib1.final_cell_0053,9
mouse1_lib1.final_cell_0054,9
mouse1_lib1.final_cell_0055,9
mouse1_lib1.final_cell_0056,11
mouse1_lib1.final_cell_0057,9
mouse1_lib1.final_cell_0058,8
mouse1_lib1.final_cell_0059,9
mouse1_lib1.final_cell_0060,11
mouse1_lib1.final_cell_0061,11
mouse1_lib1.final_cell_0062,9
mouse1_lib1.final_cell_0063,9
mouse1_lib1.final_cell_0064,8
mouse1_lib1.final_cell_0065,11
mouse1_lib1.final_cell_0066,11
mouse1_lib1.final_cell_0067,9
mouse1_lib1.final_cell_0068,11
mouse1_lib1.final_cell_0069,8
mouse1_lib1.final_cell_0070,9
mouse1_lib1.final_cell_0071,11
mouse1_lib1.final_cell_0072,11
mouse1_lib1.final_cell_0073,8
mouse1_lib1.final_cell_0074,11
mouse1_lib1.final_cell_0075,11
mouse1_lib1.final_cell_0076,9
mouse1_lib1.final_cell_0077,11
mouse1_lib1.final_cell_0078,9
mouse1_lib1.final_cell_0079,12
mouse1_lib1.final_cell_0080,11
mouse1_lib1.final_cell_0081,9
mouse1_lib1.final_cell_0082,9
mouse1_lib1.final_cell_0083,3
mouse1_lib1.final_cell_0084,2
mouse1_lib1.final_cell_0085,9
mouse1_lib1.final_cell_0086,11
mouse1_lib1.final_cell_0087,9
mouse1_lib1.final_cell_0088,9
mouse1_lib1.final_cell_0089,11
mouse1_lib1.final_cell_0090,9
mouse1_lib1.final_cell_0091,3
mouse1_lib1.final_cell_0092,8
mouse1_lib1.final_cell_0093,11
mouse1_lib1.final_cell_0094,11
mouse1_lib1.final_cell_0095,9
mouse1_lib1.final_cell_0096,3
mouse1_lib1.final_cell_0097,11
mouse1_lib1.final_cell_0098,9
mouse1_lib1.final_cell_0099,9
mouse1_lib1.final_cell_0100,8
mouse1_lib1.final_cell_0101,11
mouse1_lib1.final_cell_0102,8
mouse1_lib1.final_cell_0103,11
mouse1_lib1.final_cell_0104,9
mouse1_lib1.final_cell_0105,12
mouse1_lib1.final_cell_0106,11
mouse1_lib1.final_cell_0107,12
mouse1_lib1.final_cell_0108,11
mouse1_lib1.final_cell_0109,11
mouse1_lib1.final_cell_0110,12
mouse1_lib1.final_cell_0111,3
mouse1_lib1.final_cell_0112,6
mouse1_lib1.final_cell_0113,11
mouse1_lib1.final_cell_0114,11
mouse1_lib1.final_cell_0115,8
mouse1_lib1.final_cell_0116,6
mouse1_lib1.final_cell_0117,11
mouse1_lib1.final_cell_0118,11
mouse1_lib1.final_cell_0119,11
mouse1_lib1.final_cell_0120,8
mouse1_lib1.final_cell_0121,11
mouse1_lib1.final_cell_0122,3
mouse1_lib1.final_cell_0123,11
mouse1_lib1.final_cell_0124,6
mouse1_lib1.final_cell_0125,11
mouse1_lib1.final_cell_0126,12
mouse1_lib1.final_cell_0127,9
mouse1_lib1.final_cell_0128,11
mouse1_lib1.final_cell_0129,11
mouse1_lib1.final_cell_0130,11
mouse1_lib1.final_cell_0131,11
mouse1_lib1.final_cell_0132,11
mouse1_lib1.final_cell_0133,9
mouse1_lib1.final_cell_0134,11
mouse1_lib1.final_cell_0135,9
mouse1_lib1.final_cell_0136,3
mouse1_lib1.final_cell_0137,11
mouse1_lib1.final_cell_0138,11
mouse1_lib1.final_cell_0139,2
mouse1_lib1.final_cell_0140,9
mouse1_lib1.final_cell_0141,11
mouse1_lib1.final_cell_0142,11
mouse1_lib1.final_cell_0143,11
mouse1_lib1.final_cell_0144,11
mouse1_lib1.final_cell_0145,8
mouse1_lib1.final_cell_0146,3
mouse1_lib1.final_cell_0147,11
mouse1_lib1.final_cell_0148,11
mouse1_lib1.final_cell_0149,11
mouse1_lib1.final_cell_0150,11
mouse1_lib1.final_cell_0151,9
mouse1_lib1.final_cell_0152,11
mouse1_lib1.final_cell_0153,9
mouse1_lib1.final_cell_0154,11
mouse1_lib1.final_cell_0155,9
mouse1_lib1.final_cell_0156,3
mouse1_lib1.final_cell_0157,8
mouse1_lib1.final_cell_0158,11
mouse1_lib1.final_cell_0159,9
mouse1_lib1.final_cell_0160,6
mouse1_lib1.final_cell_0161,3
mouse1_lib1.final_cell_0162,5
mouse1_lib1.final_cell_0163,11
mouse1_lib1.final_cell_0164,11
mouse1_lib1.final_cell_0165,9
mouse1_lib1.final_cell_0166,3
mouse1_lib1.final_cell_0167,1
mouse1_lib1.final_cell_0168,11
mouse1_lib1.final_cell_0169,11
mouse1_lib1.final_cell_0170,11
mouse1_lib1.final_cell_0171,11
mouse1_lib1.final_cell_0172,11
mouse1_lib1.final_cell_0173,11
mouse1_lib1.final_cell_0174,11
mouse1_lib1.final_cell_0175,9
mouse1_lib1.final_cell_0176,9
mouse1_lib1.final_cell_0177,11
mouse1_lib1.final_cell_0178,9
mouse1_lib1.final_cell_0179,11
mouse1_lib1.final_cell_0180,11
mouse1_lib1.final_cell_0181,11
mouse1_lib1.final_cell_0182,8
mouse1_lib1.final_cell_0183,9
mouse1_lib1.final_cell_0184,9
mouse1_lib1.final_cell_0185,9
mouse1_lib1.final_cell_0186,11
mouse1_lib1.final_cell_0187,8
mouse1_lib1.final_cell_0188,8
mouse1_lib1.final_cell_0189,1
mouse1_lib1.final_cell_0190,11
mouse1_lib1.final_cell_0191,11
mouse1_lib1.final_cell_0192,9
mouse1_lib1.final_cell_0193,9
mouse1_lib1.final_cell_0194,9
mouse1_lib1.final_cell_0195,12
mouse1_lib1.final_cell_0196,11
mouse1_lib1.final_cell_0197,11
mouse1_lib1.final_cell_0198,11
mouse1_lib1.final_cell_0199,11
mouse1_lib1.final_cell_0200,9
mouse1_lib1.final_cell_0201,9
mouse1_lib1.final_cell_0202,9
mouse1_lib1.final_cell_0203,8
mouse1_lib1.final_cell_0204,8
mouse1_lib1.final_cell_0205,3
mouse1_lib1.final_cell_0206,11
mouse1_lib1.final_cell_0207,12
mouse1_lib1.final_cell_0208,8
mouse1_lib1.final_cell_0209,11
mouse1_lib1.final_cell_0210,9
mouse1_lib1.final_cell_0211,11
mouse1_lib1.final_cell_0212,3
mouse1_lib1.final_cell_0213,11
mouse1_lib1.final_cell_0214,11
mouse1_lib1.final_cell_0215,9
mouse1_lib1.final_cell_0216,11
mouse1_lib1.final_cell_0217,3
mouse1_lib1.final_cell_0218,11
mouse1_lib1.final_cell_0219,11
mouse1_lib1.final_cell_0220,3
mouse1_lib1.final_cell_0221,9
mouse1_lib1.final_cell_0222,0
mouse1_lib1.final_cell_0223,11
mouse1_lib1.final_cell_0224,11
mouse1_lib1.final_cell_0225,3
mouse1_lib1.final_cell_0226,3
mouse1_lib1.final_cell_0227,9
mouse1_lib1.final_cell_0228,1
mouse1_lib1.final_cell_0229,11
mouse1_lib1.final_cell_0230,11
mouse1_lib1.final_cell_0231,1
mouse1_lib1.final_cell_0232,9
mouse1_lib1.final_cell_0233,8
mouse1_lib1.final_cell_0234,12
mouse1_lib1.final_cell_0235,8
mouse1_lib1.final_cell_0236,9
mouse1_lib1.final_cell_0237,12
mouse1_lib1.final_cell_0238,9
mouse1_lib1.final_cell_0239,9
mouse1_lib1.final_cell_0240,11
mouse1_lib1.final_cell_0241,11
mouse1_lib1.final_cell_0242,3
mouse1_lib1.final_cell_0243,11
mouse1_lib1.final_cell_0244,9
mouse1_lib1.final_cell_0245,3
mouse1_lib1.final_cell_0246,3
mouse1_lib1.final_cell_0247,11
mouse1_lib1.final_cell_0248,11
mouse1_lib1.final_cell_0249,9
mouse1_lib1.final_cell_0250,9
mouse1_lib1.final_cell_0251,8
mouse1_lib1.final_cell_0252,11
mouse1_lib1.final_cell_0253,12
mouse1_lib1.final_cell_0254,3
mouse1_lib1.final_cell_0255,9
mouse1_lib1.final_cell_0256,9
mouse1_lib1.final_cell_0257,11
mouse1_lib1.final_cell_0258,9
mouse1_lib1.final_cell_0259,11
mouse1_lib1.final_cell_0260,9
mouse1_lib1.final_cell_0261,9
mouse1_lib1.final_cell_0262,9
mouse1_lib1.final_cell_0263,10
mouse1_lib1.final_cell_0264,9
mouse1_lib1.final_cell_0265,4
mouse1_lib1.final_cell_0266,9
mouse1_lib1.final_cell_0267,9
mouse1_lib1.final_cell_0268,11
mouse1_lib1.final_cell_0269,9
mouse1_lib1.final_cell_0270,11
mouse1_lib1.final_cell_0271,9
